,A,B,C,D,E,F
726,out,out,out,hallC,recreationArea,other
727,out,mainHall,out,out,out,out
728,out,out,out,out,out,out
729,out,mainHall,out,out,out,out
730,out,other,other,other,out,out
731,out,other,out,out,out,out
732,out,out,out,hallC,other,other
733,out,mainHall,other,hallB,recreationArea,other
734,out,mainHall,diningHall,other,other,hallC
735,out,out,out,hallD,recreationArea,other
736,out,mainHall,other,other,other,hallC
737,out,mainHall,out,out,out,out
738,out,other,other,other,out,out
739,out,mainHall,diningHall,other,other,hallC
740,out,other,out,out,out,out
741,out,mainHall,diningHall,hallA,other,other
742,out,mainHall,other,hallC,other,other
743,out,mainHall,diningHall,hallB,other,hallB
744,out,mainHall,diningHall,other,recreationArea,hallA
745,out,mainHall,other,other,other,hallA
746,out,mainHall,other,hallB,exhibition,hallB
747,out,mainHall,out,out,out,out
748,out,out,out,hallB,exhibition,other
749,out,mainHall,other,other,recreationArea,other
750,out,mainHall,diningHall,out,out,out
751,out,mainHall,out,out,out,out
752,out,mainHall,out,out,out,out
753,out,mainHall,recreationArea,hallB,recreationArea,other
754,out,mainHall,recreationArea,hallA,other,hallA
755,out,mainHall,diningHall,exhibition,recreationArea,hallB
756,out,mainHall,out,out,out,out
757,out,out,out,out,out,out
758,out,mainHall,other,hallA,other,hallA
759,out,mainHall,diningHall,hallD,other,hallD
760,out,other,other,other,out,out
761,out,other,out,out,out,out
762,out,out,out,exhibition,recreationArea,other
763,out,mainHall,other,hallB,other,hallB
764,out,other,other,other,other,other
765,out,mainHall,other,hallB,recreationArea,hallB
766,out,mainHall,other,hallB,other,other
767,out,mainHall,other,other,hallA,other
768,out,out,out,out,out,out
769,out,other,out,out,out,out
770,out,mainHall,out,out,out,out
771,out,other,other,other,other,other
772,out,mainHall,other,other,recreationArea,hallD
773,out,out,out,hallC,recreationArea,hallC
774,out,out,out,out,out,out
775,out,out,out,out,out,out
776,out,mainHall,other,hallC,other,other
777,out,mainHall,out,out,out,out
778,out,mainHall,out,out,out,out
779,out,mainHall,diningHall,hallB,other,hallB
780,out,mainHall,other,out,out,out
781,out,out,out,hallA,other,hallA
782,out,out,out,other,other,hallA
783,out,out,out,hallD,exhibition,other
784,out,mainHall,other,hallC,recreationArea,hallC
785,out,mainHall,diningHall,out,out,out
786,out,out,out,out,out,out
787,out,out,out,other,other,other
788,out,out,out,out,out,out
789,out,mainHall,other,hallD,recreationArea,hallD
790,out,mainHall,diningHall,hallC,other,other
791,out,out,out,out,out,out
792,out,out,out,out,out,out
793,out,out,out,out,out,out
794,out,out,out,hallA,recreationArea,hallA
795,out,mainHall,diningHall,hallB,exhibition,hallA
796,out,out,out,out,out,out
797,other,other,other,other,other,other
798,out,out,out,hallC,recreationArea,hallC
799,out,mainHall,diningHall,hallC,other,other
800,out,out,out,hallA,other,recreationArea
801,out,other,recreationArea,other,other,other
802,out,mainHall,out,out,out,out
803,out,out,out,hallB,other,hallA
804,out,other,other,other,other,other
805,out,mainHall,out,out,out,out
806,out,out,out,out,out,out
807,out,mainHall,diningHall,hallD,recreationArea,hallC
808,out,mainHall,other,hallB,other,hallA
809,out,mainHall,out,out,out,out
810,out,mainHall,out,out,out,out
811,out,other,other,other,other,out
812,out,mainHall,out,out,out,out
813,out,mainHall,diningHall,hallA,other,recreationArea
814,out,mainHall,other,hallB,recreationArea,other
815,out,out,out,exhibition,other,recreationArea
816,out,out,out,out,out,out
817,out,mainHall,diningHall,other,recreationArea,other
818,out,mainHall,diningHall,out,out,out
819,out,out,out,other,other,hallA
820,out,exhibition,out,out,out,out
821,out,other,other,other,out,out
822,out,mainHall,diningHall,exhibition,other,hallC
823,out,mainHall,diningHall,exhibition,exhibition,other
824,out,out,out,out,out,out
825,out,mainHall,diningHall,other,other,hallA
826,out,mainHall,other,exhibition,recreationArea,hallC
827,out,mainHall,diningHall,hallC,recreationArea,other
828,out,mainHall,out,out,out,out
829,out,mainHall,out,out,out,out
830,out,mainHall,diningHall,out,out,out
831,out,out,out,exhibition,recreationArea,hallA
832,out,mainHall,diningHall,exhibition,other,hallB
833,out,out,out,hallD,other,hallD
834,out,mainHall,other,hallB,other,hallA
835,out,mainHall,other,out,out,out
836,out,mainHall,diningHall,out,out,out
837,out,mainHall,other,other,other,other
838,out,mainHall,diningHall,hallB,other,hallA
839,out,mainHall,diningHall,other,other,other
840,out,mainHall,diningHall,other,other,hallB
841,out,other,other,other,other,other
842,out,out,out,other,exhibition,other
843,out,out,out,out,out,out
844,out,exhibition,out,out,out,out
845,out,out,out,out,out,out
846,out,out,out,hallB,other,other
847,out,mainHall,other,hallC,other,hallC
848,out,mainHall,out,out,out,out
849,out,mainHall,diningHall,hallC,recreationArea,other
850,out,mainHall,diningHall,hallB,recreationArea,other
851,out,out,out,hallB,recreationArea,hallC
852,out,mainHall,diningHall,other,recreationArea,hallA
853,out,mainHall,diningHall,hallB,other,other
854,out,other,diningHall,other,out,out
855,out,mainHall,diningHall,other,recreationArea,hallC
856,out,out,out,hallD,recreationArea,hallC
857,out,out,out,recreationArea,other,other
858,out,mainHall,diningHall,hallB,other,hallA
859,out,out,out,out,out,out
860,out,out,out,hallA,other,other
861,out,mainHall,out,out,out,out
862,out,mainHall,out,out,out,out
863,out,out,out,hallC,recreationArea,hallC
864,out,out,out,other,recreationArea,hallA
865,out,mainHall,other,other,recreationArea,other
866,out,mainHall,diningHall,hallD,recreationArea,hallD
867,out,mainHall,recreationArea,other,recreationArea,hallB
868,out,mainHall,other,other,recreationArea,hallA
869,out,out,out,out,out,out
870,out,mainHall,other,other,exhibition,hallC
871,out,mainHall,other,other,other,hallA
872,out,out,out,out,out,out
873,out,mainHall,other,hallD,other,other
874,out,mainHall,diningHall,other,exhibition,hallB
875,out,out,out,out,out,out
876,out,mainHall,out,out,out,out
877,out,mainHall,other,hallB,other,hallB
878,out,mainHall,other,other,other,hallA
879,out,out,out,out,out,out
880,out,out,out,out,out,out
881,out,mainHall,diningHall,out,out,out
882,out,mainHall,diningHall,hallC,recreationArea,hallC
883,out,out,out,hallB,recreationArea,other
884,out,mainHall,diningHall,exhibition,exhibition,other
885,out,mainHall,diningHall,hallB,other,hallC
886,out,out,out,out,out,out
887,out,mainHall,diningHall,hallC,recreationArea,other
888,out,mainHall,diningHall,other,out,out
889,out,mainHall,other,out,out,out
890,out,mainHall,other,hallB,recreationArea,other
891,out,mainHall,diningHall,hallC,other,hallC
892,out,mainHall,out,out,out,out
893,out,out,out,out,out,out
894,out,mainHall,other,hallB,other,other
895,out,other,out,out,out,out
896,out,mainHall,out,out,out,out
897,out,exhibition,diningHall,other,recreationArea,other
898,out,out,out,out,out,out
899,out,mainHall,other,hallB,other,other
900,out,out,out,out,out,out
901,out,out,out,hallD,other,hallD
902,out,mainHall,other,hallC,recreationArea,hallC
903,out,mainHall,diningHall,hallB,recreationArea,hallB
904,out,out,out,out,out,out
905,out,out,out,out,out,out
906,out,exhibition,out,out,out,out
907,out,mainHall,diningHall,hallB,recreationArea,other
908,out,out,out,out,out,out
909,out,out,out,exhibition,recreationArea,hallD
910,out,mainHall,diningHall,hallB,other,hallB
911,out,out,out,hallB,other,hallA
912,out,other,other,other,out,out
913,out,mainHall,diningHall,other,other,other
914,out,mainHall,out,out,out,out
915,out,mainHall,out,out,out,out
916,out,other,other,other,other,other
917,out,mainHall,other,exhibition,recreationArea,other
918,out,other,other,other,out,out
919,out,mainHall,out,out,out,out
920,out,out,out,out,out,out
921,out,mainHall,exhibition,hallA,recreationArea,hallA
922,out,other,other,other,out,out
923,out,mainHall,diningHall,hallB,recreationArea,hallB
924,out,out,out,out,out,out
925,out,out,out,out,out,out
926,out,out,out,other,other,hallD
927,out,out,out,hallC,other,recreationArea
928,out,mainHall,out,out,out,out
929,out,mainHall,out,out,out,out
930,out,mainHall,other,other,other,hallB
931,out,out,out,out,out,out
932,out,other,out,out,out,out
933,out,mainHall,out,out,out,out
934,out,out,out,hallD,recreationArea,other
935,out,mainHall,diningHall,hallC,recreationArea,hallC
936,out,out,out,hallD,recreationArea,other
937,out,mainHall,diningHall,hallB,recreationArea,other
938,out,mainHall,other,other,hallA,hallA
939,out,mainHall,diningHall,hallD,recreationArea,hallD
940,out,mainHall,diningHall,hallC,other,hallC
941,out,exhibition,out,out,out,out
942,out,mainHall,out,out,out,out
943,out,mainHall,out,out,out,out
944,out,mainHall,diningHall,hallB,recreationArea,hallB
945,out,mainHall,other,other,recreationArea,hallC
946,out,out,out,hallB,other,other
947,out,mainHall,diningHall,hallC,recreationArea,other
948,out,mainHall,diningHall,out,out,out
949,out,out,out,hallA,other,hallA
950,out,mainHall,diningHall,hallA,other,hallA
951,out,other,other,other,other,out
952,out,mainHall,other,hallB,exhibition,hallC
953,out,out,out,hallD,recreationArea,hallC
954,out,mainHall,out,out,out,out
955,out,out,out,out,out,out
956,out,other,out,out,out,out
957,out,out,out,hallB,recreationArea,hallB
958,out,out,out,hallD,other,hallD
959,out,out,out,out,out,out
960,out,mainHall,diningHall,exhibition,recreationArea,hallB
961,out,out,out,hallA,other,other
962,out,mainHall,diningHall,out,out,out
963,out,mainHall,out,out,out,out
964,out,out,out,out,out,out
965,out,other,out,out,out,out
966,out,out,out,out,out,out
967,out,out,out,out,out,out
968,out,mainHall,out,out,out,out
969,out,mainHall,diningHall,other,other,hallC
970,out,out,out,hallB,hallB,other
971,out,mainHall,out,out,out,out
972,out,mainHall,out,out,out,out
973,out,mainHall,diningHall,hallB,other,hallB
974,out,other,other,other,out,out
975,out,mainHall,diningHall,exhibition,recreationArea,recreationArea
976,out,mainHall,out,out,out,out
977,out,other,other,other,out,out
978,out,mainHall,other,hallC,other,hallC
979,out,mainHall,diningHall,out,out,out
980,out,mainHall,diningHall,out,out,out
981,out,mainHall,diningHall,hallB,recreationArea,other
982,out,exhibition,out,out,out,out
983,out,out,out,exhibition,other,recreationArea
984,out,out,out,out,out,out
985,out,out,out,other,other,other
986,out,out,out,hallD,recreationArea,other
987,out,out,other,other,other,other
988,out,other,other,other,out,out
989,out,mainHall,diningHall,hallB,hallA,hallA
990,out,mainHall,diningHall,exhibition,recreationArea,hallB
991,out,mainHall,other,out,out,out
992,out,mainHall,diningHall,hallD,recreationArea,hallD
993,out,out,out,hallC,other,hallC
994,out,mainHall,other,out,out,out
995,out,exhibition,out,out,out,out
996,out,mainHall,other,hallB,recreationArea,hallB
997,out,mainHall,diningHall,hallB,recreationArea,other
998,out,mainHall,out,out,out,out
999,out,out,out,exhibition,exhibition,other
1000,out,mainHall,out,out,out,out
1001,out,mainHall,out,out,out,out
1002,out,out,out,out,out,out
1003,out,out,out,hallD,other,hallC
1004,out,mainHall,other,hallB,recreationArea,other
1005,out,out,out,hallC,other,other
1006,out,out,out,out,out,out
1007,out,mainHall,diningHall,other,recreationArea,hallB
1008,out,out,out,hallB,other,hallA
1009,out,out,out,hallB,other,other
1010,out,mainHall,diningHall,other,other,hallC
1011,out,out,out,other,recreationArea,other
1012,out,mainHall,out,out,out,out
1013,out,mainHall,diningHall,hallB,recreationArea,hallA
1014,out,mainHall,other,hallB,other,other
1015,out,other,other,other,other,out
1016,out,out,out,out,out,out
1017,out,out,out,out,out,out
1018,out,mainHall,other,other,recreationArea,hallC
1019,out,mainHall,diningHall,hallC,exhibition,other
1020,out,mainHall,diningHall,hallD,other,hallD
1021,out,out,out,other,other,other
1022,out,out,out,other,recreationArea,hallC
1023,out,out,out,out,out,out
1024,out,mainHall,diningHall,hallB,hallA,hallA
1025,out,out,out,out,out,out
1026,out,mainHall,other,out,out,out
1027,out,out,out,exhibition,recreationArea,other
1028,out,out,out,out,out,out
1029,out,mainHall,diningHall,hallC,other,hallC
1030,out,mainHall,other,other,other,other
1031,out,out,out,out,out,out
1032,out,out,out,out,out,out
1033,out,mainHall,diningHall,hallB,other,hallA
1034,out,out,out,hallC,other,hallC
1035,out,other,other,other,out,out
1036,out,mainHall,diningHall,out,out,out
1037,out,mainHall,diningHall,hallC,other,exhibition
1038,out,mainHall,diningHall,exhibition,other,hallC
1039,out,out,out,hallD,other,other
1040,out,mainHall,out,out,out,out
1041,out,out,out,hallB,recreationArea,hallA
1042,out,mainHall,other,hallB,recreationArea,hallB
1043,out,mainHall,diningHall,hallB,other,hallA
1044,out,mainHall,diningHall,hallB,exhibition,hallA
1045,out,other,other,other,other,other
1046,out,out,out,out,out,out
1047,out,exhibition,out,out,out,out
1048,out,out,out,out,out,out
1049,out,out,out,out,out,out
1050,out,out,out,out,out,out
1051,out,mainHall,diningHall,recreationArea,other,other
1052,out,mainHall,out,out,out,out
1053,out,out,out,out,out,out
1054,out,out,out,out,out,out
1055,out,mainHall,out,out,out,out
1056,out,other,other,other,out,out
1057,out,mainHall,recreationArea,hallB,other,hallA
1058,out,out,out,hallD,recreationArea,other
1059,out,out,out,out,out,out
1060,out,exhibition,out,out,out,out
1061,out,mainHall,other,hallC,other,hallC
1062,out,mainHall,other,hallB,hallA,other
1063,out,out,out,out,out,out
1064,out,out,out,hallB,recreationArea,hallB
1065,out,mainHall,diningHall,out,out,out
1066,out,mainHall,diningHall,out,out,out
1067,out,mainHall,diningHall,exhibition,other,hallB
1068,out,mainHall,other,hallB,recreationArea,hallC
1069,out,out,out,other,other,hallD
1070,out,mainHall,diningHall,hallB,recreationArea,hallA
1071,out,mainHall,diningHall,hallB,recreationArea,hallA
1072,out,mainHall,diningHall,other,other,hallC
1073,out,mainHall,diningHall,hallC,recreationArea,other
1074,out,mainHall,recreationArea,exhibition,recreationArea,other
1075,out,mainHall,other,other,other,other
1076,out,out,out,out,out,out
1077,out,mainHall,other,out,out,out
1078,out,other,out,out,out,out
1079,out,mainHall,recreationArea,exhibition,recreationArea,other
1080,out,mainHall,diningHall,hallC,recreationArea,hallC
1081,out,mainHall,diningHall,other,hallA,hallA
1082,out,out,other,other,other,other
1083,out,mainHall,out,out,out,out
1084,out,mainHall,out,out,out,out
1085,out,mainHall,diningHall,out,out,out
1086,out,mainHall,out,out,out,out
1087,out,mainHall,other,other,other,hallC
1088,out,out,out,out,out,out
1089,out,mainHall,diningHall,hallD,hallD,hallA
1090,out,mainHall,diningHall,hallC,recreationArea,other
1091,out,mainHall,out,out,out,out
1092,out,mainHall,diningHall,exhibition,recreationArea,other
1093,out,out,out,out,out,out
1094,out,mainHall,diningHall,hallB,other,other
1095,out,out,out,out,out,out
1096,out,out,out,hallB,other,hallA
1097,out,mainHall,out,out,out,out
1098,out,out,out,out,out,out
1099,out,mainHall,out,out,out,out
1100,out,out,out,out,out,out
1101,out,mainHall,out,out,out,out
1102,out,out,out,out,out,out
1103,out,out,out,out,out,out
1104,out,other,other,other,out,out
1105,out,mainHall,diningHall,hallA,recreationArea,other
1106,out,mainHall,recreationArea,other,other,other
1107,out,mainHall,out,out,out,out
1108,out,out,out,hallD,other,other
1109,out,mainHall,other,other,other,other
1110,out,mainHall,diningHall,other,recreationArea,hallC
1111,out,out,out,out,out,out
1112,out,out,out,out,out,out
1113,out,mainHall,recreationArea,hallA,recreationArea,hallA
1114,out,mainHall,diningHall,hallC,recreationArea,hallC
1115,out,mainHall,other,hallC,other,other
1116,out,mainHall,diningHall,hallD,recreationArea,other
1117,out,mainHall,diningHall,recreationArea,other,recreationArea
1118,out,out,exhibition,other,recreationArea,hallD
1119,out,mainHall,diningHall,out,out,out
1120,out,mainHall,diningHall,hallC,recreationArea,other
1121,out,mainHall,diningHall,other,recreationArea,other
1122,out,mainHall,diningHall,out,out,out
1123,out,out,out,out,out,out
1124,out,out,out,out,out,out
1125,out,out,out,out,out,out
1126,out,mainHall,out,out,out,out
1127,out,mainHall,out,out,out,out
1128,out,mainHall,other,hallB,recreationArea,hallA
1129,out,mainHall,out,out,out,out
1130,out,out,other,out,out,out
1131,out,mainHall,out,out,out,out
1132,out,out,out,out,out,out
1133,out,out,out,out,out,out
1134,out,out,out,out,out,out
1135,out,mainHall,out,out,out,out
1136,out,mainHall,diningHall,out,out,out
1137,out,mainHall,diningHall,hallB,recreationArea,other
1138,out,out,out,hallB,recreationArea,hallC
1139,out,mainHall,out,out,out,out
1140,out,mainHall,diningHall,other,hallA,other
1141,out,out,out,out,out,out
1142,out,out,out,hallD,other,hallC
1143,out,mainHall,diningHall,other,recreationArea,hallA
1144,out,mainHall,other,out,out,out
1145,out,mainHall,recreationArea,exhibition,other,hallA
1146,out,other,other,other,out,out
1147,out,mainHall,diningHall,hallB,recreationArea,other
1148,out,out,out,out,out,out
1149,other,other,other,other,other,other
1150,out,mainHall,other,hallB,other,hallB
1151,out,mainHall,diningHall,hallD,recreationArea,hallC
1152,out,mainHall,other,other,other,hallA
1153,out,mainHall,other,hallB,other,hallC
1154,out,out,out,out,out,out
1155,out,mainHall,out,out,out,out
1156,out,mainHall,recreationArea,hallA,other,hallA
1157,out,mainHall,out,out,out,out
1158,out,other,other,other,other,other
1159,out,out,out,other,recreationArea,other
1160,out,mainHall,out,out,out,out
1161,out,mainHall,out,out,out,out
1162,out,mainHall,other,hallD,other,hallD
1163,out,out,out,out,out,out
1164,out,mainHall,diningHall,hallB,recreationArea,other
1165,out,other,other,other,other,other
1166,out,mainHall,diningHall,hallB,other,other
1167,out,mainHall,out,out,out,out
1168,out,out,out,other,other,hallB
1169,out,other,out,out,out,out
1170,out,mainHall,other,hallC,recreationArea,hallC
1171,out,mainHall,diningHall,hallB,other,hallA
1172,out,out,out,out,out,out
1173,out,mainHall,diningHall,exhibition,recreationArea,other
1174,out,mainHall,other,hallB,recreationArea,hallB
1175,out,mainHall,other,other,other,other
1176,out,mainHall,out,out,out,out
1177,out,mainHall,out,out,out,out
1178,out,out,out,out,out,out
1179,out,mainHall,recreationArea,exhibition,exhibition,other
1180,out,mainHall,diningHall,other,other,other
1181,out,out,out,hallB,other,hallA
1182,out,out,out,hallA,other,hallA
1183,out,mainHall,out,out,out,out
1184,out,mainHall,diningHall,other,exhibition,hallC
1185,out,mainHall,out,out,out,out
1186,out,other,other,other,other,other
1187,out,out,out,out,out,out
1188,out,mainHall,other,hallD,other,hallD
1189,out,out,out,hallD,exhibition,exhibition
1190,out,mainHall,diningHall,hallB,recreationArea,other
1191,out,out,out,out,out,out
1192,out,out,out,hallB,recreationArea,other
1193,out,mainHall,other,other,other,hallB
1194,out,mainHall,out,out,out,out
1195,out,mainHall,out,out,out,out
1196,out,mainHall,out,out,out,out
1197,out,other,other,other,other,other
1198,out,mainHall,diningHall,exhibition,recreationArea,other
1199,out,mainHall,diningHall,out,out,out
1200,out,mainHall,out,out,out,out
1201,out,other,out,out,out,out
1202,out,mainHall,diningHall,hallB,other,hallC
1203,out,out,out,out,out,out
1204,out,mainHall,diningHall,other,other,other
1205,out,out,out,hallB,recreationArea,other
1206,out,mainHall,diningHall,recreationArea,other,recreationArea
1207,out,other,other,other,other,other
1208,out,mainHall,other,hallD,recreationArea,other
1209,out,out,out,out,out,out
1210,out,out,out,hallD,other,hallD
1211,out,out,out,out,out,out
1212,out,mainHall,other,hallB,recreationArea,hallC
1213,out,out,out,out,out,out
1214,out,mainHall,recreationArea,hallB,other,other
1215,out,mainHall,diningHall,other,exhibition,hallC
1216,out,mainHall,diningHall,hallB,hallA,hallA
1217,out,mainHall,other,other,other,hallD
1218,out,mainHall,other,hallB,other,exhibition
1219,out,mainHall,other,other,other,hallC
1220,out,mainHall,other,out,out,out
1221,out,out,out,exhibition,recreationArea,other
1222,out,mainHall,diningHall,hallC,exhibition,other
1223,out,mainHall,out,out,out,out
1224,out,mainHall,other,hallD,other,hallD
1225,out,mainHall,diningHall,exhibition,recreationArea,hallC
1226,out,mainHall,out,out,out,out
1227,out,mainHall,diningHall,hallC,other,hallC
1228,out,mainHall,diningHall,hallA,hallA,hallA
1229,out,out,out,hallD,recreationArea,other
1230,out,mainHall,other,hallB,exhibition,recreationArea
1231,out,out,out,hallB,recreationArea,other
1232,out,mainHall,out,out,out,out
1233,out,out,out,out,out,out
1234,out,mainHall,other,hallB,other,hallC
1235,out,mainHall,diningHall,other,other,other
1236,out,mainHall,out,out,out,out
1237,out,mainHall,other,hallC,exhibition,recreationArea
1238,out,mainHall,diningHall,hallC,recreationArea,other
1239,out,mainHall,out,out,out,out
1240,out,exhibition,out,out,out,out
1241,out,out,out,out,out,out
1242,out,mainHall,diningHall,out,out,out
1243,out,mainHall,diningHall,other,other,hallB
1244,out,mainHall,other,out,out,out
1245,out,out,out,other,other,other
1246,out,mainHall,out,out,out,out
1247,out,other,out,out,out,out
1248,out,mainHall,other,hallC,other,other
1249,out,out,out,out,out,out
1250,out,mainHall,out,out,out,out
1251,out,exhibition,out,out,out,out
1252,out,other,other,other,out,out
1253,out,exhibition,out,out,out,out
1254,out,out,out,exhibition,recreationArea,recreationArea
1255,out,mainHall,other,hallC,other,other
1256,out,mainHall,out,out,out,out
1257,out,out,out,out,out,out
1258,out,mainHall,diningHall,recreationArea,exhibition,other
1259,out,mainHall,other,hallB,exhibition,hallB
1260,out,mainHall,other,hallB,recreationArea,hallC
1261,out,out,out,out,out,out
1262,out,mainHall,out,out,out,out
1263,out,mainHall,other,hallD,recreationArea,hallC
1264,out,out,out,hallD,recreationArea,other
1265,out,mainHall,other,out,out,out
1266,out,out,out,other,other,hallB
1267,out,mainHall,other,hallC,recreationArea,other
1268,out,mainHall,other,hallD,recreationArea,hallD
1269,out,out,out,out,out,out
1270,out,out,out,out,out,out
1271,out,mainHall,diningHall,other,other,hallA
1272,out,mainHall,diningHall,hallB,other,hallA
1273,out,mainHall,diningHall,exhibition,exhibition,other
1274,out,mainHall,out,out,out,out
1275,out,mainHall,other,out,out,out
1276,out,out,out,hallB,exhibition,hallB
1277,out,mainHall,diningHall,other,other,hallC
1278,out,mainHall,other,other,recreationArea,hallC
1279,out,mainHall,diningHall,other,other,other
1280,out,out,out,out,out,out
1281,out,mainHall,other,other,exhibition,other
1282,out,out,out,out,out,out
1283,out,mainHall,other,out,out,out
1284,out,mainHall,diningHall,hallB,other,hallC
1285,out,mainHall,other,other,other,hallA
1286,out,mainHall,other,hallD,recreationArea,other
1287,out,out,out,out,out,out
1288,out,mainHall,out,out,out,out
1289,out,out,out,other,other,hallD
1290,out,out,out,hallB,recreationArea,hallA
1291,out,mainHall,recreationArea,other,recreationArea,recreationArea
1292,out,out,out,other,recreationArea,hallC
1293,out,mainHall,out,out,out,out
1294,out,mainHall,diningHall,exhibition,recreationArea,hallD
1295,out,mainHall,diningHall,out,out,out
1296,out,out,out,other,recreationArea,hallC
1297,out,mainHall,other,hallC,other,hallC
1298,out,out,out,other,recreationArea,other
1299,out,out,out,out,out,out
1300,out,out,out,out,out,out
1301,out,mainHall,other,hallB,other,hallA
1302,out,mainHall,diningHall,other,hallA,other
1303,out,out,out,other,other,other
1304,out,out,out,out,out,out
1305,out,mainHall,diningHall,hallD,recreationArea,other
1306,out,mainHall,other,hallC,exhibition,hallB
1307,out,mainHall,out,out,out,out
1308,out,out,out,other,other,other
1309,out,mainHall,out,out,out,out
1310,out,mainHall,out,out,out,out
1311,out,mainHall,other,hallC,exhibition,hallC
1312,out,out,out,hallB,recreationArea,hallB
1313,out,mainHall,diningHall,out,out,out
1314,out,mainHall,other,out,out,out
1315,out,out,out,other,other,hallD
1316,out,out,out,hallB,hallA,other
1317,out,other,other,other,out,out
1318,out,mainHall,diningHall,out,out,out
1319,out,mainHall,other,other,other,exhibition
1320,out,mainHall,out,out,out,out
1321,out,mainHall,diningHall,other,other,other
1322,out,out,out,out,out,out
1323,out,out,out,exhibition,other,recreationArea
1324,out,mainHall,diningHall,hallC,other,hallC
1325,out,mainHall,out,out,out,out
1326,out,out,out,out,out,out
1327,out,out,out,out,out,out
1328,out,other,other,other,out,out
1329,out,other,other,other,other,out
1330,out,mainHall,diningHall,hallB,other,hallC
1331,out,mainHall,other,hallC,recreationArea,other
1332,out,out,out,out,out,out
1333,out,mainHall,out,out,out,out
1334,out,mainHall,other,other,other,other
1335,out,mainHall,other,out,out,out
1336,out,mainHall,diningHall,other,other,other
1337,out,mainHall,out,out,out,out
1338,out,mainHall,other,hallB,exhibition,hallC
1339,out,mainHall,out,out,out,out
1340,out,out,out,out,out,out
1341,out,mainHall,other,out,out,out
1342,out,mainHall,other,hallA,other,hallA
1343,out,mainHall,other,exhibition,exhibition,hallB
1344,out,mainHall,diningHall,exhibition,other,other
1345,out,mainHall,diningHall,hallC,other,hallC
1346,out,out,out,hallB,other,hallA
1347,out,mainHall,other,other,other,other
1348,out,out,out,hallB,recreationArea,hallA
1349,out,mainHall,other,hallB,hallA,other
1350,out,out,out,out,out,out
1351,out,out,out,out,out,out
1352,out,mainHall,other,hallC,exhibition,other
1353,out,out,out,out,out,out
1354,out,out,out,hallC,other,other
1355,out,out,out,hallB,recreationArea,hallA
1356,out,out,out,out,out,out
1357,out,mainHall,diningHall,out,out,out
1358,out,out,out,out,out,out
1359,out,mainHall,diningHall,exhibition,recreationArea,other
1360,out,mainHall,diningHall,out,out,out
1361,out,mainHall,diningHall,other,other,hallC
1362,out,mainHall,out,out,out,out
1363,out,out,out,out,out,out
1364,out,out,out,hallB,other,hallA
1365,out,mainHall,out,out,out,out
1366,out,mainHall,out,out,out,out
1367,out,mainHall,diningHall,hallB,recreationArea,hallB
1368,out,mainHall,recreationArea,hallB,other,hallA
1369,out,mainHall,diningHall,exhibition,other,other
1370,out,mainHall,other,hallC,other,other
1371,out,mainHall,recreationArea,exhibition,recreationArea,other
1372,out,exhibition,out,out,out,out
1373,out,mainHall,other,hallA,other,hallA
1374,out,mainHall,diningHall,other,exhibition,other
1375,out,out,out,out,out,out
1376,out,out,out,out,out,out
1377,out,out,out,out,out,out
1378,out,out,out,hallD,hallD,hallD
1379,out,mainHall,diningHall,hallD,exhibition,hallD
1380,out,mainHall,diningHall,hallB,other,other
1381,out,out,out,hallD,recreationArea,other
1382,out,mainHall,out,out,out,out
1383,out,out,out,out,out,out
1384,out,mainHall,out,out,out,out
1385,out,out,out,other,exhibition,hallD
1386,out,out,out,out,out,out
1387,out,out,out,other,recreationArea,hallA
1388,out,out,out,out,out,out
1389,out,out,out,hallD,other,hallD
1390,out,mainHall,diningHall,hallB,other,other
1391,out,mainHall,diningHall,out,out,out
1392,out,out,out,hallA,hallA,other
1393,out,out,out,out,out,out
1394,out,mainHall,other,hallB,other,hallC
1395,out,other,other,other,other,other
1396,out,mainHall,diningHall,hallB,other,hallA
1397,out,out,out,hallD,recreationArea,hallD
1398,out,out,out,hallD,other,hallD
1399,out,mainHall,diningHall,hallD,other,hallC
1400,out,out,out,out,out,out
1401,out,out,out,out,out,out
1402,out,out,out,out,out,out
1403,out,mainHall,diningHall,out,out,out
1404,out,out,out,other,recreationArea,other
1405,out,mainHall,other,hallB,other,hallC
1406,out,other,other,other,out,out
1407,out,mainHall,other,out,out,out
1408,out,other,out,out,out,out
1409,out,out,out,hallB,hallA,hallA
1410,out,out,out,out,out,out
1411,out,other,out,out,out,out
1412,out,other,other,other,out,out
1413,out,mainHall,diningHall,hallA,recreationArea,other
1414,out,out,out,hallD,recreationArea,other
1415,out,out,out,hallD,other,hallD
1416,out,out,out,out,out,out
1417,out,mainHall,diningHall,hallD,other,hallD
1418,out,mainHall,out,out,out,out
1419,out,mainHall,out,out,out,out
1420,out,mainHall,diningHall,hallB,exhibition,hallB
1421,out,out,out,other,other,hallD
1422,out,mainHall,other,hallB,other,hallA
1423,out,out,out,out,out,out
1424,out,out,out,hallC,recreationArea,recreationArea
1425,out,mainHall,diningHall,hallA,hallA,hallA
1426,out,mainHall,out,out,out,out
1427,out,mainHall,other,exhibition,other,hallA
1428,out,out,out,hallB,other,hallB
1429,out,out,out,out,out,out
1430,out,mainHall,other,hallB,recreationArea,hallA
1431,out,out,out,other,other,hallC
1432,out,out,out,out,out,out
1433,out,mainHall,other,out,out,out
