,A,B,C,D
937,mainHall,mainHall,hallA,out
938,mainHall,other,mainHall,out
939,mainHall,hallB,mainHall,out
940,mainHall,hallB,out,out
941,other,other,other,out
942,out,exhibition,out,out
943,out,hallB,other,out
944,exhibition,hallC,hallC,out
945,other,other,other,out
946,other,other,other,out
947,out,hallC,out,out
948,other,other,other,out
949,out,other,hallA,out
950,mainHall,other,mainHall,out
951,mainHall,mainHall,other,out
952,other,other,other,out
953,mainHall,mainHall,hallA,out
954,mainHall,mainHall,mainHall,out
955,other,other,out,out
956,exhibition,hallB,out,out
957,exhibition,out,out,out
958,mainHall,hallB,mainHall,out
959,mainHall,mainHall,out,out
960,mainHall,hallB,mainHall,out
961,other,hallB,hallB,out
962,out,hallB,out,out
963,other,other,other,out
964,other,other,other,out
965,exhibition,mainHall,other,out
966,mainHall,mainHall,hallA,out
967,other,other,out,out
968,mainHall,mainHall,other,out
969,mainHall,mainHall,out,out
970,out,hallB,other,out
971,other,other,other,out
972,mainHall,mainHall,hallA,out
973,mainHall,mainHall,mainHall,out
974,other,other,out,out
975,other,other,other,out
976,mainHall,mainHall,other,out
977,out,out,other,out
978,exhibition,hallB,other,out
979,other,out,out,out
980,mainHall,mainHall,mainHall,out
981,other,hallB,out,out
982,other,hallB,mainHall,out
983,mainHall,hallB,out,out
984,mainHall,mainHall,hallA,out
985,out,exhibition,exhibition,out
986,mainHall,mainHall,hallA,out
987,out,hallA,other,out
988,other,other,other,out
989,mainHall,mainHall,out,out
990,mainHall,mainHall,hallA,out
991,other,other,other,out
992,mainHall,hallB,mainHall,out
993,mainHall,mainHall,hallA,out
994,exhibition,other,out,out
995,out,hallB,other,out
996,exhibition,out,out,out
997,exhibition,hallC,hallC,out
998,mainHall,mainHall,out,out
999,mainHall,hallB,mainHall,out
1000,mainHall,mainHall,other,out
1001,out,out,out,out
1002,other,other,other,out
1003,mainHall,other,other,out
1004,mainHall,mainHall,mainHall,out
1005,out,other,out,out
1006,mainHall,mainHall,other,out
1007,mainHall,hallB,mainHall,out
1008,mainHall,hallB,mainHall,out
1009,mainHall,mainHall,hallA,out
1010,mainHall,mainHall,hallA,out
1011,mainHall,hallB,mainHall,out
1012,other,other,other,out
1013,mainHall,mainHall,hallA,out
1014,out,mainHall,mainHall,out
1015,exhibition,hallB,hallB,out
1016,mainHall,mainHall,other,out
1017,out,mainHall,exhibition,out
1018,exhibition,exhibition,other,out
1019,out,hallA,hallA,out
1020,mainHall,other,mainHall,out
1021,mainHall,mainHall,mainHall,out
1022,other,hallA,hallA,out
1023,mainHall,hallB,mainHall,out
1024,mainHall,mainHall,other,out
1025,out,other,out,out
1026,mainHall,mainHall,hallA,out
1027,mainHall,mainHall,hallA,out
1028,mainHall,out,out,out
1029,mainHall,mainHall,mainHall,out
1030,out,hallB,other,out
1031,mainHall,mainHall,mainHall,out
1032,exhibition,mainHall,out,out
1033,mainHall,mainHall,hallA,out
1034,out,out,exhibition,out
1035,mainHall,hallB,mainHall,out
1036,other,hallA,hallA,out
1037,other,hallC,hallC,out
1038,mainHall,hallB,mainHall,out
1039,mainHall,mainHall,hallA,out
1040,mainHall,mainHall,mainHall,out
1041,other,mainHall,mainHall,out
1042,mainHall,exhibition,out,out
1043,mainHall,mainHall,mainHall,out
1044,mainHall,mainHall,out,out
1045,mainHall,mainHall,out,out
1046,mainHall,hallB,mainHall,out
1047,mainHall,mainHall,mainHall,out
1048,mainHall,hallB,other,out
1049,exhibition,hallB,out,out
1050,exhibition,other,mainHall,out
1051,out,out,other,out
1052,mainHall,mainHall,mainHall,out
1053,out,hallB,other,out
1054,mainHall,hallB,mainHall,out
1055,out,hallB,mainHall,out
1056,out,hallA,hallA,out
1057,other,hallB,out,out
1058,exhibition,mainHall,out,out
1059,out,other,other,out
1060,mainHall,other,mainHall,out
1061,out,out,mainHall,out
1062,out,out,other,out
1063,other,other,out,out
1064,out,mainHall,mainHall,out
1065,out,other,mainHall,out
1066,mainHall,mainHall,out,out
1067,mainHall,other,mainHall,out
1068,exhibition,mainHall,other,out
1069,mainHall,mainHall,hallA,out
1070,mainHall,out,out,out
1071,out,other,other,out
1072,other,other,out,out
1073,out,hallB,other,out
1074,other,other,out,out
1075,mainHall,other,mainHall,out
1076,out,hallB,other,out
1077,mainHall,hallB,mainHall,out
1078,other,hallB,other,out
1079,out,hallB,other,out
1080,mainHall,mainHall,mainHall,out
1081,other,hallB,hallA,out
1082,mainHall,mainHall,hallA,out
1083,other,hallB,out,out
1084,mainHall,mainHall,hallA,out
1085,mainHall,hallB,mainHall,out
1086,mainHall,hallB,mainHall,out
1087,mainHall,mainHall,other,out
1088,other,hallB,other,out
1089,mainHall,mainHall,mainHall,out
1090,other,hallB,other,out
1091,other,other,out,out
1092,exhibition,out,out,out
1093,other,other,other,out
1094,out,other,out,out
1095,mainHall,out,out,out
1096,out,hallA,other,out
1097,other,other,other,out
1098,mainHall,hallB,out,out
1099,other,other,other,out
1100,mainHall,mainHall,hallA,out
1101,out,other,mainHall,out
1102,out,hallC,hallC,out
1103,out,hallB,out,out
1104,mainHall,mainHall,hallA,out
1105,mainHall,mainHall,hallA,out
1106,mainHall,mainHall,hallA,out
1107,mainHall,mainHall,mainHall,out
1108,mainHall,mainHall,hallA,out
1109,mainHall,mainHall,hallA,out
1110,out,out,mainHall,out
1111,out,out,other,out
1112,exhibition,mainHall,other,out
1113,mainHall,mainHall,hallA,out
1114,mainHall,mainHall,hallA,out
1115,mainHall,mainHall,hallA,out
1116,out,mainHall,mainHall,out
1117,other,hallB,other,out
1118,other,hallA,hallA,out
1119,mainHall,mainHall,hallA,out
1120,other,hallB,out,out
1121,mainHall,mainHall,hallA,out
1122,other,hallA,other,out
1123,other,other,exhibition,out
1124,other,other,other,out
1125,other,hallA,hallA,out
1126,other,mainHall,out,out
1127,mainHall,mainHall,mainHall,out
1128,mainHall,mainHall,hallA,out
1129,mainHall,mainHall,other,out
1130,mainHall,mainHall,out,out
1131,other,hallB,out,out
1132,mainHall,hallB,mainHall,out
1133,exhibition,exhibition,other,out
1134,other,hallB,other,out
1135,other,other,other,out
1136,other,exhibition,exhibition,out
1137,mainHall,other,mainHall,out
1138,mainHall,out,out,out
1139,out,hallB,other,out
1140,out,hallC,out,out
1141,other,hallB,out,out
1142,other,hallB,hallB,out
1143,mainHall,mainHall,mainHall,out
1144,other,mainHall,mainHall,out
1145,mainHall,mainHall,hallA,out
1146,mainHall,mainHall,hallA,out
1147,out,mainHall,mainHall,out
1148,other,other,other,out
1149,mainHall,mainHall,hallA,out
1150,mainHall,out,out,out
1151,mainHall,mainHall,hallA,out
1152,mainHall,mainHall,hallA,out
1153,mainHall,mainHall,hallA,out
1154,out,hallC,out,out
1155,mainHall,mainHall,other,out
1156,mainHall,mainHall,hallA,out
1157,mainHall,exhibition,mainHall,out
1158,exhibition,out,out,out
1159,exhibition,mainHall,other,out
1160,out,out,other,out
1161,other,other,other,out
1162,other,hallA,other,out
1163,other,other,out,out
1164,mainHall,mainHall,hallA,out
1165,out,out,mainHall,out
1166,mainHall,mainHall,hallA,out
1167,mainHall,mainHall,hallA,out
1168,mainHall,mainHall,hallA,out
1169,mainHall,mainHall,hallA,out
1170,other,other,other,out
1171,out,out,other,out
1172,mainHall,mainHall,hallA,out
1173,mainHall,mainHall,other,out
1174,mainHall,mainHall,other,out
1175,out,hallB,other,out
1176,mainHall,mainHall,hallA,out
1177,mainHall,mainHall,other,out
1178,mainHall,mainHall,mainHall,out
1179,mainHall,mainHall,mainHall,out
1180,mainHall,mainHall,out,out
1181,other,hallB,out,out
1182,mainHall,mainHall,hallA,out
1183,mainHall,mainHall,hallA,out
1184,other,hallB,out,out
1185,out,other,other,out
1186,out,out,mainHall,out
1187,out,hallB,hallB,out
1188,other,hallB,hallB,out
1189,mainHall,mainHall,hallA,out
1190,other,hallB,out,out
1191,mainHall,mainHall,mainHall,out
1192,mainHall,mainHall,hallA,out
1193,other,other,out,out
1194,out,other,other,out
1195,other,hallC,hallC,out
1196,mainHall,mainHall,hallA,out
1197,mainHall,mainHall,mainHall,out
1198,mainHall,mainHall,hallA,out
1199,out,hallB,out,out
1200,mainHall,hallB,out,out
1201,mainHall,hallB,mainHall,out
1202,mainHall,mainHall,hallA,out
1203,mainHall,mainHall,mainHall,out
1204,mainHall,hallB,mainHall,out
1205,mainHall,mainHall,mainHall,out
1206,mainHall,mainHall,hallA,out
1207,other,hallB,other,out
1208,out,hallB,other,out
1209,mainHall,mainHall,hallA,out
1210,mainHall,mainHall,hallA,out
1211,mainHall,other,mainHall,out
1212,out,hallC,out,out
1213,out,out,mainHall,out
1214,mainHall,mainHall,hallA,out
1215,mainHall,hallB,other,out
1216,other,other,hallA,out
1217,out,hallC,hallC,out
1218,mainHall,mainHall,hallA,out
1219,mainHall,mainHall,other,out
1220,mainHall,hallB,out,out
1221,mainHall,mainHall,mainHall,out
1222,mainHall,hallB,mainHall,out
1223,out,out,mainHall,out
1224,other,other,out,out
1225,exhibition,hallB,other,out
1226,mainHall,mainHall,hallA,out
1227,out,out,mainHall,out
1228,mainHall,hallB,mainHall,out
1229,out,exhibition,other,out
1230,mainHall,hallB,mainHall,out
1231,out,hallB,other,out
1232,other,other,out,out
1233,mainHall,mainHall,other,out
1234,mainHall,mainHall,hallA,out
1235,out,hallC,hallC,out
1236,other,other,out,out
1237,mainHall,mainHall,hallA,out
1238,mainHall,mainHall,hallA,out
1239,out,hallA,hallA,out
1240,out,hallB,other,out
1241,mainHall,mainHall,other,out
1242,out,hallA,other,out
1243,out,hallB,hallB,out
1244,other,other,out,out
1245,mainHall,hallB,other,out
1246,out,hallC,out,out
1247,out,hallB,hallB,out
1248,out,hallB,hallB,out
1249,exhibition,out,out,out
1250,other,hallB,out,out
1251,out,hallB,out,out
1252,out,hallB,out,out
1253,mainHall,mainHall,mainHall,out
1254,out,out,other,out
1255,mainHall,hallB,mainHall,out
1256,mainHall,out,out,out
1257,other,hallB,other,out
1258,mainHall,mainHall,mainHall,out
1259,out,other,mainHall,out
1260,mainHall,other,other,out
1261,mainHall,hallB,mainHall,out
1262,out,hallA,hallA,out
1263,out,hallB,other,out
1264,mainHall,mainHall,hallA,out
1265,mainHall,other,out,out
1266,mainHall,mainHall,hallA,out
1267,mainHall,mainHall,other,out
1268,out,hallB,other,out
1269,mainHall,mainHall,hallA,out
1270,other,hallB,other,out
1271,mainHall,hallB,other,out
1272,mainHall,mainHall,mainHall,out
1273,out,other,other,out
1274,mainHall,mainHall,other,out
1275,out,hallB,other,out
1276,mainHall,other,mainHall,out
1277,exhibition,other,out,out
1278,mainHall,mainHall,hallA,out
1279,mainHall,mainHall,hallA,out
1280,mainHall,other,mainHall,out
1281,out,out,other,out
1282,mainHall,hallB,mainHall,out
1283,mainHall,mainHall,hallA,out
1284,other,hallC,other,out
1285,mainHall,mainHall,mainHall,out
1286,out,out,out,out
1287,mainHall,mainHall,mainHall,out
1288,mainHall,out,out,out
1289,other,hallB,out,out
1290,out,out,mainHall,out
1291,out,hallA,hallA,out
1292,out,hallB,out,out
1293,mainHall,mainHall,hallA,out
1294,mainHall,mainHall,hallA,out
1295,other,other,other,out
1296,out,hallC,other,out
1297,mainHall,mainHall,mainHall,out
1298,mainHall,mainHall,mainHall,out
1299,mainHall,mainHall,hallA,out
1300,out,hallA,other,out
1301,mainHall,mainHall,hallA,out
1302,mainHall,mainHall,mainHall,out
1303,mainHall,hallB,mainHall,out
1304,exhibition,mainHall,mainHall,out
1305,other,other,out,out
1306,other,exhibition,out,out
1307,mainHall,mainHall,out,out
1308,out,hallB,hallB,out
1309,other,hallC,out,out
1310,mainHall,mainHall,hallA,out
1311,mainHall,mainHall,hallA,out
1312,mainHall,mainHall,mainHall,out
1313,out,out,out,out
1314,mainHall,mainHall,hallA,out
1315,out,hallA,hallA,out
1316,mainHall,mainHall,hallA,out
1317,out,hallB,other,out
1318,mainHall,mainHall,hallA,out
1319,mainHall,other,mainHall,out
1320,other,other,out,out
1321,out,hallB,out,out
1322,out,out,mainHall,out
1323,mainHall,mainHall,hallA,out
1324,mainHall,mainHall,other,out
1325,out,out,mainHall,out
1326,mainHall,mainHall,out,out
1327,mainHall,mainHall,other,out
1328,mainHall,other,mainHall,out
1329,out,hallC,other,out
1330,out,hallC,hallC,out
1331,mainHall,mainHall,other,out
1332,mainHall,mainHall,other,out
1333,out,hallB,other,out
1334,mainHall,mainHall,hallA,out
1335,out,hallC,other,out
1336,mainHall,mainHall,other,out
1337,mainHall,mainHall,hallA,out
1338,mainHall,mainHall,other,out
1339,mainHall,mainHall,mainHall,out
1340,out,mainHall,mainHall,out
1341,mainHall,mainHall,hallA,out
1342,exhibition,out,out,out
1343,mainHall,mainHall,hallA,out
1344,other,hallC,hallC,out
1345,other,other,other,out
1346,mainHall,mainHall,hallA,out
1347,other,other,other,out
1348,mainHall,mainHall,hallA,out
1349,mainHall,mainHall,hallA,out
1350,mainHall,mainHall,mainHall,out
1351,mainHall,mainHall,other,out
1352,mainHall,mainHall,hallA,out
1353,mainHall,hallB,mainHall,out
1354,out,other,other,out
1355,mainHall,mainHall,hallA,out
1356,other,hallC,out,out
1357,other,other,mainHall,out
1358,other,hallB,hallB,out
1359,mainHall,mainHall,mainHall,out
1360,mainHall,other,mainHall,out
1361,mainHall,mainHall,hallA,out
1362,other,hallA,hallA,out
1363,other,other,other,out
1364,mainHall,mainHall,hallA,out
1365,mainHall,other,mainHall,out
1366,out,hallA,hallA,out
1367,mainHall,hallB,mainHall,out
1368,mainHall,mainHall,other,out
1369,other,other,other,other
1370,mainHall,mainHall,other,out
1371,mainHall,mainHall,mainHall,out
1372,mainHall,mainHall,out,out
1373,mainHall,mainHall,mainHall,out
1374,mainHall,out,out,out
1375,out,hallB,other,out
1376,mainHall,mainHall,hallA,out
1377,other,hallB,hallB,out
1378,mainHall,hallB,out,out
1379,out,out,other,out
1380,exhibition,hallB,out,out
1381,exhibition,mainHall,mainHall,out
1382,out,hallB,other,out
1383,out,out,other,out
1384,out,hallB,out,out
1385,other,hallA,hallA,out
1386,mainHall,mainHall,mainHall,out
1387,mainHall,mainHall,hallA,out
1388,mainHall,mainHall,hallA,out
1389,mainHall,hallB,mainHall,out
1390,mainHall,mainHall,hallA,out
1391,mainHall,mainHall,other,out
1392,exhibition,hallC,other,out
1393,out,hallC,other,out
1394,other,other,out,out
1395,mainHall,mainHall,hallA,out
1396,out,out,out,out
1397,mainHall,mainHall,other,out
1398,mainHall,hallB,mainHall,out
1399,other,other,other,out
1400,mainHall,other,mainHall,out
1401,exhibition,hallC,other,out
1402,out,mainHall,mainHall,out
1403,mainHall,mainHall,hallA,out
1404,out,hallB,hallA,out
1405,mainHall,mainHall,other,out
1406,other,other,other,out
1407,mainHall,hallB,mainHall,out
1408,other,other,out,out
1409,exhibition,other,mainHall,out
1410,out,out,mainHall,out
1411,other,other,other,other
1412,out,mainHall,mainHall,out
1413,out,out,exhibition,out
1414,other,other,other,out
1415,mainHall,hallB,mainHall,out
1416,mainHall,hallB,out,out
1417,mainHall,mainHall,hallA,out
1418,mainHall,other,mainHall,out
1419,exhibition,hallC,hallC,out
1420,out,hallC,other,out
1421,exhibition,hallB,other,out
1422,mainHall,mainHall,other,out
1423,mainHall,mainHall,hallA,out
1424,mainHall,mainHall,other,out
1425,other,other,other,out
1426,mainHall,mainHall,hallA,out
1427,out,out,other,out
1428,out,out,out,out
1429,mainHall,hallB,mainHall,out
1430,mainHall,mainHall,hallA,out
1431,mainHall,mainHall,hallA,out
1432,out,out,out,out
1433,out,mainHall,other,out
1434,mainHall,mainHall,hallA,out
1435,out,other,other,out
1436,other,other,other,out
1437,mainHall,mainHall,other,out
1438,mainHall,hallB,mainHall,out
1439,other,hallB,out,out
1440,mainHall,out,out,out
1441,mainHall,out,out,out
1442,other,hallB,other,out
1443,mainHall,mainHall,hallA,out
1444,mainHall,mainHall,hallA,out
1445,mainHall,other,out,out
1446,out,other,other,out
1447,out,hallB,out,out
1448,mainHall,mainHall,hallA,out
1449,out,hallC,other,out
1450,mainHall,hallB,mainHall,out
1451,other,other,other,out
1452,other,hallB,out,out
1453,mainHall,mainHall,mainHall,out
1454,mainHall,mainHall,hallA,out
1455,mainHall,mainHall,hallA,out
1456,out,hallB,out,out
1457,mainHall,other,mainHall,out
1458,mainHall,mainHall,hallA,out
1459,other,other,out,out
1460,out,hallB,other,out
1461,mainHall,mainHall,mainHall,out
1462,exhibition,other,mainHall,out
1463,mainHall,hallB,out,out
1464,out,other,out,out
1465,mainHall,hallB,mainHall,out
1466,mainHall,other,mainHall,out
1467,mainHall,out,out,out
1468,mainHall,mainHall,other,out
1469,other,hallB,hallA,out
1470,other,hallC,out,out
1471,mainHall,mainHall,other,out
1472,mainHall,hallB,mainHall,out
1473,mainHall,mainHall,mainHall,out
1474,mainHall,mainHall,hallA,out
1475,mainHall,hallB,mainHall,out
1476,out,hallB,other,out
1477,other,hallC,hallC,out
1478,other,hallB,other,out
1479,out,hallB,other,out
1480,mainHall,mainHall,hallA,out
1481,mainHall,mainHall,mainHall,out
1482,mainHall,mainHall,out,out
1483,exhibition,exhibition,exhibition,out
1484,mainHall,hallB,mainHall,out
1485,mainHall,mainHall,mainHall,out
1486,mainHall,mainHall,hallA,out
1487,out,hallA,other,out
1488,mainHall,hallB,mainHall,out
1489,mainHall,other,other,out
1490,mainHall,mainHall,hallA,out
1491,mainHall,mainHall,mainHall,out
1492,out,mainHall,mainHall,out
1493,other,hallB,hallB,out
1494,out,hallC,hallC,out
1495,exhibition,out,out,out
1496,mainHall,mainHall,out,out
1497,out,other,other,out
1498,mainHall,mainHall,mainHall,out
1499,out,out,mainHall,out
1500,out,hallA,other,out
1501,mainHall,other,mainHall,out
1502,mainHall,mainHall,mainHall,out
1503,other,hallC,other,out
1504,out,mainHall,mainHall,out
1505,out,hallA,hallA,out
1506,mainHall,other,mainHall,out
1507,exhibition,other,other,out
1508,out,hallB,other,out
1509,other,hallB,out,out
1510,mainHall,mainHall,mainHall,out
1511,mainHall,mainHall,hallA,out
1512,other,hallA,hallA,out
1513,mainHall,out,out,out
1514,other,hallC,hallC,out
1515,mainHall,hallB,out,out
1516,exhibition,out,out,out
1517,out,hallB,other,out
1518,other,other,other,out
1519,mainHall,hallB,mainHall,out
1520,mainHall,hallB,out,out
1521,mainHall,out,out,out
1522,mainHall,hallB,mainHall,out
1523,other,other,other,out
1524,other,hallB,other,out
1525,mainHall,hallB,mainHall,out
1526,mainHall,mainHall,hallA,out
1527,mainHall,mainHall,hallA,out
1528,other,hallB,other,out
1529,other,hallC,hallC,out
1530,other,other,other,out
1531,mainHall,hallB,mainHall,out
1532,out,out,out,out
1533,mainHall,mainHall,hallA,out
1534,mainHall,mainHall,hallA,out
1535,mainHall,other,mainHall,out
1536,mainHall,mainHall,mainHall,out
1537,out,other,other,out
1538,out,hallB,other,out
1539,mainHall,out,out,out
1540,mainHall,mainHall,other,out
1541,other,other,out,out
1542,other,hallB,out,out
1543,mainHall,mainHall,other,out
1544,other,out,out,out
1545,out,out,other,out
1546,mainHall,mainHall,mainHall,out
1547,mainHall,other,mainHall,out
1548,mainHall,mainHall,mainHall,out
1549,mainHall,mainHall,mainHall,out
1550,out,other,out,out
1551,out,hallB,mainHall,out
1552,out,hallB,out,out
1553,out,hallA,hallA,out
1554,mainHall,mainHall,mainHall,out
1555,mainHall,hallB,mainHall,out
1556,mainHall,mainHall,mainHall,out
1557,mainHall,mainHall,hallA,out
1558,out,out,other,out
1559,mainHall,mainHall,hallA,out
1560,out,hallC,hallC,out
1561,mainHall,mainHall,hallA,out
1562,mainHall,hallB,other,out
1563,mainHall,mainHall,mainHall,out
1564,other,hallB,other,out
1565,exhibition,mainHall,other,out
1566,out,hallB,other,out
1567,mainHall,mainHall,hallA,out
1568,out,hallC,out,out
1569,other,other,out,out
1570,other,hallB,hallB,out
1571,other,hallB,hallB,out
1572,mainHall,mainHall,hallA,out
1573,other,other,mainHall,out
1574,mainHall,mainHall,mainHall,out
1575,out,out,mainHall,out
1576,mainHall,mainHall,hallA,out
1577,mainHall,mainHall,exhibition,out
1578,other,hallB,other,out
1579,mainHall,mainHall,other,out
1580,out,other,other,out
1581,mainHall,mainHall,hallA,out
1582,other,out,out,out
1583,out,out,mainHall,out
1584,mainHall,mainHall,mainHall,out
1585,mainHall,mainHall,hallA,out
1586,mainHall,mainHall,hallA,out
1587,mainHall,hallB,other,out
1588,other,out,out,out
1589,other,other,other,out
1590,mainHall,exhibition,exhibition,out
1591,mainHall,mainHall,hallA,out
1592,exhibition,other,other,out
1593,other,hallB,other,out
1594,mainHall,mainHall,mainHall,out
1595,out,out,other,out
1596,mainHall,mainHall,exhibition,out
1597,mainHall,mainHall,hallA,out
1598,other,hallB,hallB,out
1599,mainHall,mainHall,hallA,out
1600,mainHall,other,mainHall,out
1601,out,hallB,mainHall,out
1602,other,other,other,out
1603,mainHall,mainHall,mainHall,out
1604,other,hallB,other,out
1605,mainHall,mainHall,mainHall,out
1606,mainHall,other,mainHall,out
1607,mainHall,mainHall,out,out
1608,exhibition,exhibition,out,out
1609,mainHall,hallB,mainHall,out
1610,out,out,out,out
1611,mainHall,mainHall,hallA,out
1612,mainHall,mainHall,other,out
1613,out,out,exhibition,out
1614,out,hallB,out,out
1615,mainHall,mainHall,hallA,out
1616,mainHall,mainHall,hallA,out
1617,mainHall,mainHall,mainHall,out
1618,mainHall,hallB,mainHall,out
1619,out,hallB,out,out
1620,mainHall,hallB,mainHall,out
1621,mainHall,mainHall,other,out
1622,other,hallB,out,out
1623,mainHall,mainHall,mainHall,out
1624,mainHall,mainHall,other,out
1625,other,hallA,hallA,out
1626,out,mainHall,mainHall,out
1627,mainHall,mainHall,hallA,out
1628,mainHall,mainHall,mainHall,out
1629,mainHall,exhibition,other,out
1630,other,other,other,out
1631,mainHall,hallB,mainHall,out
1632,mainHall,mainHall,mainHall,out
1633,other,hallC,out,out
1634,mainHall,mainHall,other,out
1635,mainHall,other,mainHall,out
1636,out,hallA,other,out
1637,exhibition,hallB,other,out
1638,mainHall,hallB,mainHall,out
1639,other,hallB,out,out
1640,other,mainHall,mainHall,out
1641,mainHall,hallB,out,out
1642,other,hallB,other,out
1643,out,hallB,hallB,out
1644,mainHall,mainHall,hallA,out
1645,other,other,other,out
1646,mainHall,hallB,out,out
1647,out,out,mainHall,out
1648,mainHall,mainHall,hallA,out
1649,other,hallB,out,out
1650,other,other,out,out
1651,mainHall,hallB,mainHall,out
1652,mainHall,mainHall,other,out
1653,mainHall,hallB,mainHall,out
1654,other,out,out,out
1655,mainHall,mainHall,other,out
1656,mainHall,mainHall,hallA,out
1657,out,mainHall,exhibition,out
1658,mainHall,mainHall,out,out
1659,out,hallB,out,out
1660,mainHall,mainHall,mainHall,out
1661,out,hallB,other,out
1662,mainHall,mainHall,hallA,out
1663,out,out,other,out
1664,mainHall,hallB,out,out
1665,out,hallB,out,out
1666,mainHall,mainHall,mainHall,out
1667,mainHall,hallB,mainHall,out
1668,mainHall,mainHall,hallA,out
1669,mainHall,mainHall,other,out
1670,other,other,other,out
1671,out,other,other,out
1672,other,other,other,out
1673,other,other,other,other
1674,mainHall,other,mainHall,out
1675,mainHall,mainHall,mainHall,out
1676,out,other,other,out
1677,mainHall,mainHall,hallA,out
1678,other,hallC,out,out
1679,mainHall,mainHall,mainHall,out
1680,other,hallB,out,out
1681,out,hallA,hallA,out
1682,mainHall,mainHall,out,out
1683,other,other,other,out
1684,mainHall,mainHall,mainHall,out
1685,mainHall,other,mainHall,out
1686,mainHall,mainHall,hallA,out
1687,mainHall,mainHall,hallA,out
1688,mainHall,out,out,out
1689,mainHall,mainHall,hallA,out
1690,mainHall,mainHall,hallA,out
1691,mainHall,mainHall,hallA,out
1692,mainHall,mainHall,other,out
1693,mainHall,hallB,mainHall,out
1694,mainHall,other,mainHall,out
1695,mainHall,hallB,other,out
1696,other,hallB,other,out
1697,exhibition,hallB,other,out
1698,mainHall,hallB,mainHall,out
1699,mainHall,mainHall,hallA,out
1700,mainHall,mainHall,mainHall,out
1701,mainHall,mainHall,hallA,out
1702,mainHall,hallB,mainHall,out
1703,other,other,other,out
1704,out,mainHall,mainHall,out
1705,mainHall,mainHall,other,out
1706,mainHall,mainHall,hallA,out
1707,out,hallB,other,out
1708,mainHall,hallB,mainHall,out
1709,mainHall,mainHall,hallA,out
1710,mainHall,mainHall,out,out
1711,other,other,exhibition,out
1712,other,hallA,other,out
1713,mainHall,mainHall,mainHall,out
1714,other,other,other,out
1715,other,other,other,out
1716,mainHall,hallB,mainHall,out
1717,mainHall,mainHall,hallA,out
1718,other,hallB,hallB,out
1719,mainHall,mainHall,other,out
1720,out,out,other,out
1721,mainHall,mainHall,other,out
1722,mainHall,mainHall,hallA,out
1723,mainHall,out,out,out
1724,out,hallC,hallA,out
1725,out,hallB,other,out
1726,other,hallA,hallA,out
1727,mainHall,other,mainHall,out
1728,out,other,other,out
1729,other,hallB,hallA,out
1730,mainHall,mainHall,mainHall,out
1731,out,hallC,other,out
1732,out,hallB,hallA,out
1733,mainHall,mainHall,hallA,out
1734,mainHall,mainHall,hallA,out
1735,mainHall,mainHall,mainHall,out
1736,mainHall,hallB,mainHall,out
1737,mainHall,mainHall,hallA,out
1738,mainHall,hallB,other,out
1739,mainHall,hallB,out,out
1740,other,out,out,out
1741,other,hallC,hallC,out
1742,mainHall,mainHall,hallA,out
1743,mainHall,mainHall,other,out
1744,exhibition,out,out,out
1745,mainHall,mainHall,mainHall,out
1746,out,hallC,other,out
1747,other,other,other,out
1748,mainHall,mainHall,other,out
1749,mainHall,hallB,out,out
1750,out,hallB,other,out
1751,exhibition,out,out,out
1752,mainHall,hallB,other,out
1753,other,other,other,out
1754,out,hallB,other,out
1755,out,hallB,hallB,out
1756,mainHall,mainHall,hallA,out
1757,mainHall,mainHall,hallA,out
1758,mainHall,other,mainHall,out
1759,out,hallA,out,out
1760,out,other,other,out
1761,mainHall,mainHall,hallA,out
1762,mainHall,mainHall,other,out
1763,mainHall,mainHall,hallA,out
1764,mainHall,mainHall,out,out
1765,mainHall,mainHall,hallA,out
1766,other,hallB,other,out
1767,out,hallC,other,out
1768,mainHall,other,mainHall,out
1769,other,other,other,out
1770,other,hallB,other,out
1771,other,other,out,out
1772,out,hallB,hallB,out
1773,mainHall,hallB,mainHall,out
1774,mainHall,mainHall,hallA,out
1775,mainHall,other,mainHall,out
1776,other,hallB,out,out
1777,mainHall,mainHall,hallA,out
1778,mainHall,mainHall,mainHall,out
1779,mainHall,mainHall,mainHall,out
1780,other,other,out,out
1781,mainHall,hallB,mainHall,out
1782,out,hallB,out,out
1783,mainHall,mainHall,other,out
1784,mainHall,mainHall,hallA,out
1785,mainHall,mainHall,other,out
1786,mainHall,hallB,mainHall,out
1787,mainHall,mainHall,hallA,out
1788,other,other,other,out
1789,mainHall,mainHall,mainHall,out
1790,mainHall,mainHall,other,out
1791,other,other,other,out
1792,other,other,other,other
1793,mainHall,hallB,mainHall,out
1794,mainHall,mainHall,hallA,out
1795,other,hallA,other,out
1796,out,hallA,hallA,out
1797,out,out,out,out
1798,out,hallC,other,out
1799,out,other,other,out
1800,exhibition,hallB,out,out
1801,mainHall,mainHall,other,out
1802,mainHall,mainHall,hallA,out
1803,out,hallB,other,out
1804,other,other,other,out
1805,out,hallA,hallA,out
1806,mainHall,mainHall,hallA,out
1807,out,other,hallA,out
1808,other,mainHall,mainHall,out
1809,exhibition,exhibition,mainHall,out
1810,other,hallB,out,out
1811,mainHall,mainHall,mainHall,out
1812,out,hallB,other,out
1813,other,other,other,out
1814,out,hallC,other,out
1815,mainHall,mainHall,out,out
1816,out,hallB,hallB,out
1817,mainHall,mainHall,hallA,out
